,Nombre,Puntos
0,Racing Club,10
1,Flamengo,8
2,Ñublense,5
3,Aucas,4
4,Medellín,10
5,Internacional,9
6,Nacional de Montevideo,8
7,Metropolitanos,0
8,Bolívar,12
9,Palmeiras,12
10,Barcelona S.C,3
11,Cerro Porteño,3
12,Fluminense,9
13,River Plate,7
14,Sporting Cristal,7
15,The Strongest,6
16,Argentinos Juniors,11
17,Independiente del Valle,9
18,Corinthians,4
19,Liverpool F.C,4
20,Boca Juniors,10
21,Deportivo Pereira,7
22,Monagas,5
23,Colo Colo,5
24,At. Paranaense,10
25,Atlético Mineiro,9
26,Libertad,6
27,Alianza Lima,4
28,Olimpia,11
29,Nacional,10
30,FBC Melgar,4
31,Patronato,3
